PoolSizePago,PoolSizeEmpaquetado,PoolSizeEnvio,Tiempo Ejecución (ms),Memoria Inicial (KB),Memoria Final (KB),CPU Inicial,CPU Final,Tiempo TotalPago,Tiempo PromedioPago,Tiempo MedianoPago,Tiempo MínimoPago,Tiempo MáximoPago,Tiempo TotalEmpaquetado,Tiempo PromedioEmpaquetado,Tiempo MedianoEmpaquetado,Tiempo MínimoEmpaquetado,Tiempo MáximoEmpaquetado,Tiempo TotalEnvio,Tiempo PromedioEnvio,Tiempo MedianoEnvio,Tiempo MínimoEnvio,Tiempo MáximoEnvio
5,5,5,8645,2498,34052,-1.00,-1.00,438601,2193,2183,103,4314,32128,160,160,150,172,477320,2386,2418,370,4304
5,10,5,8599,34052,47795,-1.00,-1.00,444443,2222,2228,108,4359,32006,160,160,150,169,463085,2315,2317,359,4239
10,10,10,4413,47795,30263,-1.00,-1.00,224861,1124,1130,113,2149,36716,183,168,150,218,264418,1322,1323,356,2274
20,10,10,4632,30938,34411,-1.00,-1.00,120014,600,597,106,1095,129130,645,587,158,1407,381077,1905,1919,383,3536
10,20,10,4446,34411,37667,-1.00,-1.00,228138,1140,1142,103,2185,36545,182,167,153,224,263386,1316,1313,371,2261
10,10,20,2556,37667,41815,-1.00,-1.00,224186,1120,1122,111,2135,37063,185,168,151,217,81416,407,419,358,430
10,15,20,2565,41815,45843,-1.00,-1.00,224434,1122,1122,112,2137,36794,183,163,151,220,81363,406,413,358,432
15,15,15,3386,45843,49869,-1.00,-1.00,157774,788,770,109,1529,93062,465,358,150,1248,223622,1118,1157,363,1914
20,20,20,3077,49869,54788,-1.00,-1.00,119006,595,599,101,1089,132133,660,570,155,1591,250534,1252,1403,358,1988
20,30,40,2562,54788,61490,-1.00,-1.00,119037,595,597,102,1094,131380,656,584,154,1518,189879,949,945,354,1721
50,50,50,2563,61490,15667,-1.00,-1.00,56019,280,281,105,450,196114,980,945,164,2015,245977,1229,1223,379,2223
200,200,200,2577,15667,40495,-1.00,-1.00,23552,117,119,107,125,230402,1152,1125,170,2242,271977,1359,1331,384,2452
